Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-11 03:36:59.044,p1,A2,dest-plate-001,A1,completed
2025-05-11 04:36:33.340,p1,B5,dest-plate-001,A2,completed
,p1,D10,dest-plate-001,A4,started
2025-05-11 05:21:58.301,p1,E7,dest-plate-001,A6,skipped
2025-05-11 05:21:58.301,p1,A6,dest-plate-001,D6,skipped
,p2,A2,dest-plate-001,D4,uncompleted
,p2,A3,dest-plate-001,D7,uncompleted
,p2,A4,dest-plate-001,D8,uncompleted
,p2,A5,dest-plate-001,D9,uncompleted
,p3,B6,dest-plate-001,D10,uncompleted
,p3,B5,dest-plate-001,B3,uncompleted
,p3,H1,dest-plate-001,B12,uncompleted
,p3,H2,dest-plate-001,B10,uncompleted
,p3,H3,dest-plate-001,B9,uncompleted
